iso3,value,value.sd,quantity
LUX,1492.42857142857,7.10680272108844,totnewtx
MDG,634166.621309934,6425.85898179047,totnewtx
MWI,647600.830091745,10734.5703007731,totnewtx
MYS,616839.925783576,5279.73479463375,totnewtx
MDV,5306.82746143592,54.5741159622052,totnewtx
MLI,155390.980271014,2077.48136282733,totnewtx
MLT,1059.09279368213,3.13650383124027,totnewtx
MHL,3776.81472081218,52.7220329047386,totnewtx
MRT,129824.965676336,3316.59737609142,totnewtx
MUS,5013.57483948636,53.3902705574025,totnewtx
MEX,753777.130194017,10256.5838952795,totnewtx
FSM,5033.67435283881,58.034531368383,totnewtx
MCO,16,0,totnewtx
MNG,124520.940096796,1254.16031427631,totnewtx
MNE,1567.26335637964,29.0361474213213,totnewtx
MSR,56,0,totnewtx
MAR,1112002.00015802,7702.31642564168,totnewtx
MOZ,1202085.45012877,7694.537704732,totnewtx
MMR,2470123.3436968,65991.431786038,totnewtx
NAM,310451.762633873,7031.46615308963,totnewtx
NRU,192.958620689655,2.66149821640904,totnewtx
NPL,801775.778368553,7346.00632023709,totnewtx
NLD,49181.9396852612,364.399896020856,totnewtx
ANT,215,0,totnewtx
NCL,3155.37472283814,41.9783776874253,totnewtx
NZL,13348.3902383996,139.098232492631,totnewtx
NIC,98098.4938222399,654.040979789369,totnewtx
NER,212850.011887448,2048.66325755111,totnewtx
NGA,1809945.977666,11378.0960854098,totnewtx
NIU,27.2068965517241,1.87633769322235,totnewtx
MKD,33825.2935871744,502.507299930051,totnewtx
MNP,1893,0,totnewtx
NOR,11761.8226816505,40.3596900802969,totnewtx
OMN,18396.0944830226,84.491876897255,totnewtx
PAK,7144793.63313084,49552.1500565793,totnewtx
PLW,616.158490566038,1.16256318974724,totnewtx
PAN,48141.2944413181,1065.35693281724,totnewtx
PNG,440005.137631036,11451.2151345163,totnewtx
PRY,80722.9997754883,1208.74009043255,totnewtx
PER,1253522.24428225,21870.1987812373,totnewtx
PHL,7208625.59449073,129959.824948586,totnewtx
POL,504174.820439513,10713.3643151439,totnewtx
PRT,176756.83411086,1924.28665692258,totnewtx
PRI,8090.77658623771,7.23036334784425,totnewtx
QAT,14192.1488503429,8.01492875775717,totnewtx
KOR,1988459.76105871,30608.7974842647,totnewtx
MDA,128126.16454132,5766.73136369727,totnewtx
ROU,683750.912587403,23976.2940292591,totnewtx
RUS,3646247.0750994,69042.6423402793,totnewtx
RWA,187454.346620801,2176.39953360318,totnewtx
KNA,94.9489795918367,2.90660141607663,totnewtx
LCA,756.45945945946,27.2598003408814,totnewtx
VCT,414.498834498835,9.66197749414533,totnewtx
WSM,1240.9429280397,3.07926284873375,totnewtx
SMR,21.4615384615385,1.6508875739645,totnewtx
STP,4090.79796311588,59.6785830016906,totnewtx
SAU,152248.262598691,1665.24153932721,totnewtx
SEN,312813.314816539,4155.91156819246,totnewtx
SRB,30286.4049379499,612.544312956884,totnewtx
SCG,114517.409916171,1587.92891639899,totnewtx
SYC,590.915057915058,11.4076266006768,totnewtx
SLE,237353.127171224,1333.54333520945,totnewtx
SGP,72379.1420843256,1485.95994465305,totnewtx
SXM,30,0,totnewtx
SVK,44642.615476423,963.899971769218,totnewtx
SVN,17864.4747942667,308.680338288599,totnewtx
SLB,13733.4174757282,95.6748864387791,totnewtx
SOM,288791.063354794,3829.28576801695,totnewtx
